transport,context_length,hit_prefix,phit,workers,lambda_rps,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,slo_ms,within_slo
nocache,8192,0.95,0.0,1,0.0267,3750.1,5905.9,7345.3,9375.3,1
nocache,8192,0.95,0.0,1,0.0533,3750.1,7017.5,9420.9,9375.3,1
nocache,8192,0.95,0.0,1,0.08,3750.1,7962.4,11567.0,9375.3,1
nocache,8192,0.95,0.0,1,0.1067,3750.1,9766.5,14300.2,9375.3,0
tcp,8192,0.95,0.8,1,0.0809,607.9,3750.1,5594.3,9375.3,1
tcp,8192,0.95,0.8,1,0.1618,607.9,4089.9,6716.1,9375.3,1
tcp,8192,0.95,0.8,1,0.2426,607.9,5108.5,7447.4,9375.3,1
tcp,8192,0.95,0.8,1,0.3235,738.5,6538.6,8895.2,9375.3,1
tcp,8192,0.95,0.8,1,0.4044,1149.7,7593.4,12874.3,9375.3,1
tcp,8192,0.95,0.8,1,0.4853,1954.7,9676.1,18999.1,9375.3,0
rdma,8192,0.95,0.8,1,0.1092,207.4,3750.1,5996.4,9375.3,1
rdma,8192,0.95,0.8,1,0.2183,207.4,3920.1,6877.7,9375.3,1
rdma,8192,0.95,0.8,1,0.3275,207.4,5657.3,7601.2,9375.3,1
rdma,8192,0.95,0.8,1,0.4367,266.2,6972.7,10558.3,9375.3,1
rdma,8192,0.95,0.8,1,0.5459,1114.5,8454.8,16237.8,9375.3,1
rdma,8192,0.95,0.8,1,0.655,2297.7,11247.7,21308.4,9375.3,0
nocache,16384,0.95,0.0,1,0.0117,8558.7,13478.8,16763.9,21396.9,1
nocache,16384,0.95,0.0,1,0.0234,8558.7,16015.8,21501.0,21396.9,1
nocache,16384,0.95,0.0,1,0.0351,8558.7,18172.1,26398.7,21396.9,1
nocache,16384,0.95,0.0,1,0.0467,8558.7,22289.6,32636.7,21396.9,0
tcp,16384,0.95,0.8,1,0.0375,1191.5,8558.7,12988.6,21396.9,1
tcp,16384,0.95,0.8,1,0.075,1191.5,9226.6,15478.4,21396.9,1
tcp,16384,0.95,0.8,1,0.1126,1191.5,11873.2,16814.4,21396.9,1
tcp,16384,0.95,0.8,1,0.1501,1465.1,15148.3,20946.7,21396.9,1
tcp,16384,0.95,0.8,1,0.1876,2315.9,17526.9,30722.5,21396.9,1
tcp,16384,0.95,0.8,1,0.2251,4538.9,22343.6,44827.7,21396.9,0
rdma,16384,0.95,0.8,1,0.0495,387.2,8558.7,13777.4,21396.9,1
rdma,16384,0.95,0.8,1,0.0989,387.2,8940.1,15743.5,21396.9,1
rdma,16384,0.95,0.8,1,0.1484,387.2,13026.4,17459.4,21396.9,1
rdma,16384,0.95,0.8,1,0.1979,554.3,16171.5,24664.6,21396.9,1
rdma,16384,0.95,0.8,1,0.2473,2663.5,19640.5,37673.1,21396.9,1
rdma,16384,0.95,0.8,1,0.2968,5378.8,26499.7,49919.3,21396.9,0
nocache,24576,0.95,0.0,1,0.0069,14425.8,22718.6,28255.6,36064.6,1
nocache,24576,0.95,0.0,1,0.0139,14425.8,26994.8,36240.0,36064.6,1
nocache,24576,0.95,0.0,1,0.0208,14425.8,30629.2,44495.2,36064.6,1
nocache,24576,0.95,0.0,1,0.0277,14425.8,37569.3,55009.4,36064.6,0
tcp,24576,0.95,0.8,1,0.0231,1800.2,14425.8,22104.7,36064.6,1
tcp,24576,0.95,0.8,1,0.0462,1800.2,15487.9,26191.3,36064.6,1
tcp,24576,0.95,0.8,1,0.0694,1800.2,20223.8,28452.4,36064.6,1
tcp,24576,0.95,0.8,1,0.0925,2219.8,25835.0,35682.3,36064.6,1
tcp,24576,0.95,0.8,1,0.1156,3594.7,29843.9,52554.3,36064.6,1
tcp,24576,0.95,0.8,1,0.1387,7662.1,38482.2,76935.3,36064.6,0
rdma,24576,0.95,0.8,1,0.0297,595.5,14425.8,23267.1,36064.6,1
rdma,24576,0.95,0.8,1,0.0595,595.5,15078.5,26566.8,36064.6,1
rdma,24576,0.95,0.8,1,0.0892,595.5,22097.3,29708.6,36064.6,1
rdma,24576,0.95,0.8,1,0.119,907.4,27276.9,41921.6,36064.6,1
rdma,24576,0.95,0.8,1,0.1487,4655.6,33390.3,63899.9,36064.6,1
rdma,24576,0.95,0.8,1,0.1785,9237.0,44923.1,84292.2,36064.6,0
