transport,context_length,hit_prefix,phit,workers,lambda_rps,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,slo_ms,within_slo
nocache,8192,0.5,0.0,1,0.0267,3750.1,5905.9,7345.3,9375.3,1
nocache,8192,0.5,0.0,1,0.0533,3750.1,7017.5,9420.9,9375.3,1
nocache,8192,0.5,0.0,1,0.08,3750.1,7962.4,11567.0,9375.3,1
nocache,8192,0.5,0.0,1,0.1067,3750.1,9766.5,14300.2,9375.3,0
tcp,8192,0.5,0.5,1,0.0349,3750.1,4616.2,6741.4,9375.3,1
tcp,8192,0.5,0.5,1,0.0699,3750.1,5743.8,7559.2,9375.3,1
tcp,8192,0.5,0.5,1,0.1048,3750.1,6959.7,9242.7,9375.3,1
tcp,8192,0.5,0.5,1,0.1398,3750.1,8102.1,11393.4,9375.3,1
tcp,8192,0.5,0.5,1,0.1747,3750.1,9785.3,13876.1,9375.3,0
rdma,8192,0.5,0.5,1,0.0363,3750.1,4503.4,6728.2,9375.3,1
rdma,8192,0.5,0.5,1,0.0726,3750.1,5728.7,7431.3,9375.3,1
rdma,8192,0.5,0.5,1,0.1089,3750.1,6909.1,9119.1,9375.3,1
rdma,8192,0.5,0.5,1,0.1452,3750.1,7981.0,11158.4,9375.3,1
rdma,8192,0.5,0.5,1,0.1815,3750.1,9596.0,13748.1,9375.3,0
nocache,16384,0.5,0.0,1,0.0117,8558.7,13478.8,16763.9,21396.9,1
nocache,16384,0.5,0.0,1,0.0234,8558.7,16015.8,21501.0,21396.9,1
nocache,16384,0.5,0.0,1,0.0351,8558.7,18172.1,26398.7,21396.9,1
nocache,16384,0.5,0.0,1,0.0467,8558.7,22289.6,32636.7,21396.9,0
tcp,16384,0.5,0.5,1,0.0157,8558.7,10383.5,15308.6,21396.9,1
tcp,16384,0.5,0.5,1,0.0313,8558.7,13075.0,17044.4,21396.9,1
tcp,16384,0.5,0.5,1,0.047,8558.7,15764.8,20819.6,21396.9,1
tcp,16384,0.5,0.5,1,0.0627,8558.7,18227.3,25605.7,21396.9,1
tcp,16384,0.5,0.5,1,0.0783,8558.7,22170.2,31352.0,21396.9,0
rdma,16384,0.5,0.5,1,0.0162,8544.7,10093.5,15463.5,21396.9,1
rdma,16384,0.5,0.5,1,0.0324,8558.7,13116.8,16962.5,21396.9,1
rdma,16384,0.5,0.5,1,0.0486,8558.7,15620.8,20800.5,21396.9,1
rdma,16384,0.5,0.5,1,0.0648,8558.7,18075.6,25619.2,21396.9,1
rdma,16384,0.5,0.5,1,0.081,8558.7,21782.6,31308.9,21396.9,0
nocache,24576,0.5,0.0,1,0.0069,14425.8,22718.6,28255.6,36064.6,1
nocache,24576,0.5,0.0,1,0.0139,14425.8,26994.8,36240.0,36064.6,1
nocache,24576,0.5,0.0,1,0.0208,14425.8,30629.2,44495.2,36064.6,1
nocache,24576,0.5,0.0,1,0.0277,14425.8,37569.3,55009.4,36064.6,0
tcp,24576,0.5,0.5,1,0.0095,14425.8,17264.7,25940.2,36064.6,1
tcp,24576,0.5,0.5,1,0.0189,14425.8,22025.8,28586.6,36064.6,1
tcp,24576,0.5,0.5,1,0.0284,14425.8,26536.3,35105.3,36064.6,1
tcp,24576,0.5,0.5,1,0.0379,14425.8,30634.6,42973.7,36064.6,1
tcp,24576,0.5,0.5,1,0.0473,14425.8,36864.5,52848.2,36064.6,0
rdma,24576,0.5,0.5,1,0.0098,14179.0,16793.4,26020.2,36064.6,1
rdma,24576,0.5,0.5,1,0.0195,14425.8,21953.1,28594.3,36064.6,1
rdma,24576,0.5,0.5,1,0.0293,14425.8,26307.8,35179.7,36064.6,1
rdma,24576,0.5,0.5,1,0.039,14425.8,30298.1,42877.2,36064.6,1
rdma,24576,0.5,0.5,1,0.0488,14425.8,36554.3,52420.4,36064.6,0
