transport,context_length,hit_ratio,concurrency,prefix_tokens,uniq_tokens,cached_tokens,prompt_tokens,kv_bytes,s_token,lookup_ms,transfer_ms,restore_ms,cold_uniq_ms,recompute_ms,saved_ms,total_ms,effective_bandwidth_gbps,max_abs_error,success
local_radix,8192,0.0,1,0,8192,0,8192,0,70272,,0.0,0.0,3677.36,3679.76,18.91,3660.85,,,1
local_radix,8192,0.25,1,2048,6144,2048,8192,143917056,70272,,0.0,0.0,2742.75,3653.85,357.56,3296.29,,,1
local_radix,8192,0.5,1,4096,4096,4096,8192,287834112,70272,,0.0,0.0,1402.2,3638.41,1396.53,2241.88,,,1
local_radix,8192,0.75,1,6144,2048,6144,8192,431751168,70272,,0.0,0.0,357.61,3648.71,2452.81,1195.91,,,1
local_radix,8192,1.0,1,8192,0,8128,8192,571170816,70272,,0.0,0.0,0.0,3659.45,3278.28,381.17,,,1
local_radix,16384,0.0,1,0,16384,0,16384,0,70272,,0.0,0.0,8691.48,8672.48,0.0,8672.75,,,1
local_radix,16384,0.25,1,4096,12288,4096,16384,287834112,70272,,0.0,0.0,6102.61,8643.03,1422.53,7220.49,,,1
local_radix,16384,0.5,1,8192,8192,8192,16384,575668224,70272,,0.0,0.0,3626.44,8655.03,3615.6,5039.44,,,1
local_radix,16384,0.75,1,12288,4096,12288,16384,863502336,70272,,0.0,0.0,1386.94,8917.03,6288.46,2628.57,,,1
local_radix,16384,1.0,1,16384,0,16320,16384,1146839040,70272,,0.0,0.0,0.0,8638.42,8253.2,385.21,,,1
local_radix,24576,0.0,1,0,24576,0,24576,0,70272,,0.0,0.0,14404.24,14393.74,52.75,14340.99,,,1
local_radix,24576,0.25,1,6144,18432,6144,24576,431751168,70272,,0.0,0.0,10004.39,14379.5,2549.47,11830.04,,,1
local_radix,24576,0.5,1,12288,12288,12288,24576,863502336,70272,,0.0,0.0,6074.62,14428.98,6124.49,8304.49,,,1
local_radix,24576,0.75,1,18432,6144,18432,24576,1295253504,70272,,0.0,0.0,2484.43,14314.73,9848.02,4466.71,,,1
local_radix,24576,1.0,1,24576,0,24512,24576,1722507264,70272,,0.0,0.0,0.0,14409.52,14004.68,404.83,,,1
