transport,op,size,size_bytes,concurrency,iters,total_bytes,wall_s,bandwidth_gbps,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,success
tcp,put,64MB,67108864,1,16,1073741824,1.2916,0.774,80.705,78.458,81.257,134.332,1
tcp,get,64MB,67108864,1,16,1073741824,1.9084,0.524,115.875,115.572,135.98,142.531,1
tcp,put,64MB,67108864,2,16,1073741824,0.9393,1.065,116.811,115.969,138.063,145.889,1
tcp,get,64MB,67108864,2,16,1073741824,1.4136,0.707,172.828,149.225,267.304,270.044,1
tcp,put,64MB,67108864,4,16,1073741824,0.8492,1.178,211.809,207.647,236.131,245.139,1
tcp,get,64MB,67108864,4,16,1073741824,1.0607,0.943,249.244,269.754,297.412,302.182,1
tcp,put,64MB,67108864,8,16,1073741824,0.8689,1.151,409.866,407.34,472.026,472.309,1
tcp,get,64MB,67108864,8,16,1073741824,1.7648,0.567,833.883,871.141,951.296,956.719,1
tcp,put,256MB,268435456,1,16,4294967296,4.8048,0.833,300.278,289.83,381.702,395.084,1
tcp,get,256MB,268435456,1,16,4294967296,6.4712,0.618,393.257,434.073,487.26,495.68,1
tcp,put,256MB,268435456,2,16,4294967296,4.168,0.96,518.663,557.95,683.211,683.769,1
tcp,get,256MB,268435456,2,16,4294967296,7.9041,0.506,970.946,975.865,1018.318,1028.147,1
tcp,put,256MB,268435456,4,16,4294967296,2.6162,1.529,639.918,637.962,784.555,784.867,1
tcp,get,256MB,268435456,4,16,4294967296,4.6508,0.86,1042.28,1071.21,1282.543,1293.222,1
tcp,put,256MB,268435456,8,16,4294967296,2.8253,1.416,1390.093,1487.925,1614.796,1615.577,1
tcp,get,256MB,268435456,8,16,4294967296,6.0885,0.657,2684.126,2592.065,3455.654,3471.826,1
tcp,put,1GB,1073741824,1,16,17179869184,15.0903,1.06,943.121,941.371,1129.753,1202.295,1
tcp,get,1GB,1073741824,1,16,17179869184,29.1459,0.549,1776.471,1811.315,2163.275,2371.168,1
tcp,put,1GB,1073741824,2,16,17179869184,14.9079,1.073,1813.277,1746.386,2677.336,2677.6,1
tcp,get,1GB,1073741824,2,16,17179869184,30.126,0.531,3702.628,3896.115,4333.536,4382.249,1
tcp,put,1GB,1073741824,4,16,17179869184,17.085,0.936,4066.624,4018.78,5491.047,5491.388,1
tcp,get,1GB,1073741824,4,16,17179869184,27.8982,0.574,6306.943,7350.064,8485.421,8560.655,1
tcp,put,1GB,1073741824,8,16,17179869184,5.5563,2.88,1735.704,0.177,5554.313,5554.522,0
tcp,get,1GB,1073741824,8,16,17179869184,8.9092,1.796,2565.32,0.313,8394.456,8857.657,0
