transport,op,size,size_bytes,concurrency,iters,total_bytes,wall_s,bandwidth_gbps,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,success
rdma,get_zc,64MB,67108864,1,20,67108864,0.0061,10.203,6.816,6.132,13.033,13.258,1
rdma,get_zc,64MB,67108864,2,20,134217728,0.014,8.933,14.111,14.039,14.701,18.114,1
rdma,get_zc,64MB,67108864,4,20,268435456,0.0239,10.482,23.596,23.931,24.973,25.065,1
rdma,get_zc,64MB,67108864,8,20,536870912,0.0373,13.392,37.926,37.352,41.094,41.844,1
rdma,get_zc,256MB,268435456,1,20,268435456,0.024,10.431,23.292,23.981,26.623,31.083,1
rdma,get_zc,256MB,268435456,2,20,536870912,0.0391,12.779,39.584,39.223,42.882,43.325,1
rdma,get_zc,256MB,268435456,4,20,1073741824,0.0758,13.195,78.758,76.476,91.547,120.712,1
rdma,get_zc,256MB,268435456,8,20,2147483648,0.1662,12.031,166.577,168.621,185.066,188.238,1
rdma,get_zc,1GB,1073741824,1,20,1073741824,0.0718,13.919,73.292,72.342,81.119,85.008,1
rdma,get_zc,1GB,1073741824,2,20,2147483648,0.1382,14.472,140.909,138.236,164.686,173.192,1
rdma,get_zc,1GB,1073741824,4,20,4294967296,0.2737,14.614,273.774,273.717,281.222,283.406,1
rdma,get_zc,1GB,1073741824,8,20,8589934592,0.5448,14.686,544.857,544.853,567.016,576.927,1
