transport,op,size,size_bytes,concurrency,iters,total_bytes,wall_s,bandwidth_gbps,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,success
tcp,get_zc,64MB,67108864,1,20,67108864,0.0522,1.197,51.632,52.253,54.246,54.575,1
tcp,get_zc,64MB,67108864,2,20,134217728,0.1025,1.22,102.551,102.937,106.213,106.538,1
tcp,get_zc,64MB,67108864,4,20,268435456,0.2038,1.226,206.889,203.894,209.778,264.491,1
tcp,get_zc,64MB,67108864,8,20,536870912,0.4133,1.21,476.683,413.478,566.942,961.212,1
tcp,get_zc,256MB,268435456,1,20,268435456,0.2107,1.186,253.134,211.432,377.767,430.38,1
tcp,get_zc,256MB,268435456,2,20,536870912,0.5377,0.93,523.614,538.936,612.795,710.163,1
tcp,get_zc,256MB,268435456,4,20,1073741824,0.6962,1.436,696.98,705.929,807.603,934.502,1
tcp,get_zc,256MB,268435456,8,20,2147483648,1.34,1.493,1520.469,1343.019,2372.013,2951.801,1
tcp,get_zc,1GB,1073741824,1,20,1073741824,0.7639,1.309,758.393,770.223,868.6,907.464,1
tcp,get_zc,1GB,1073741824,2,20,2147483648,1.3856,1.443,1531.89,1397.911,2507.008,3055.359,1
tcp,get_zc,1GB,1073741824,4,20,4294967296,2.5331,1.579,2833.353,2543.211,4234.524,5601.75,1
tcp,get_zc,1GB,1073741824,8,20,8589934592,6.5104,1.229,6885.025,6738.138,8548.463,12657.145,1
