transport,op,size,size_bytes,concurrency,iters,total_bytes,wall_s,bandwidth_gbps,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,success
rdma,put_zc,64MB,67108864,1,20,67108864,0.0032,19.654,3.808,3.185,3.258,15.701,1
rdma,put_zc,64MB,67108864,2,20,134217728,0.006,20.802,6.162,6.014,6.433,8.007,1
rdma,put_zc,64MB,67108864,4,20,268435456,0.0113,22.07,11.35,11.329,11.467,11.597,1
rdma,put_zc,64MB,67108864,8,20,536870912,0.0229,21.856,22.88,22.885,22.979,23.0,1
rdma,put_zc,256MB,268435456,1,20,268435456,0.0136,18.375,13.824,13.609,13.897,17.557,1
rdma,put_zc,256MB,268435456,2,20,536870912,0.0248,20.152,24.84,24.834,25.177,26.093,1
rdma,put_zc,256MB,268435456,4,20,1073741824,0.0483,20.719,48.25,48.267,48.412,48.528,1
rdma,put_zc,256MB,268435456,8,20,2147483648,0.0946,21.14,94.913,94.632,95.329,101.911,1
rdma,put_zc,1GB,1073741824,1,20,1073741824,0.0553,18.073,55.445,55.338,55.988,58.262,1
rdma,put_zc,1GB,1073741824,2,20,2147483648,0.1011,19.775,100.639,101.164,101.364,111.412,1
rdma,put_zc,1GB,1073741824,4,20,4294967296,0.1896,21.095,190.754,189.682,203.879,206.61,1
rdma,put_zc,1GB,1073741824,8,20,8589934592,0.3591,22.28,360.598,359.133,377.662,382.966,1
