transport,op,size,size_bytes,concurrency,iters,total_bytes,wall_s,bandwidth_gbps,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,success
tcp,put_zc,64MB,67108864,1,20,67108864,0.1072,0.583,112.322,107.292,116.707,179.119,1
tcp,put_zc,64MB,67108864,2,20,134217728,0.2009,0.622,201.746,201.093,256.049,271.939,1
tcp,put_zc,64MB,67108864,4,20,268435456,0.3803,0.657,377.463,381.663,404.829,405.909,1
tcp,put_zc,64MB,67108864,8,20,536870912,0.6837,0.731,674.838,690.787,830.46,1065.035,1
tcp,put_zc,256MB,268435456,1,20,268435456,0.3868,0.646,432.223,387.972,425.065,1386.039,1
tcp,put_zc,256MB,268435456,2,20,536870912,0.6539,0.765,658.928,662.376,777.822,790.043,1
tcp,put_zc,256MB,268435456,4,20,1073741824,0.8219,1.217,925.995,831.905,1635.524,1882.998,1
tcp,put_zc,256MB,268435456,8,20,2147483648,1.7081,1.171,1870.389,1713.598,2553.497,2958.894,1
tcp,put_zc,1GB,1073741824,1,20,1073741824,0.8253,1.212,913.702,829.09,1492.525,1679.464,1
tcp,put_zc,1GB,1073741824,2,20,2147483648,1.623,1.232,1810.009,1634.325,2507.256,4079.183,1
tcp,put_zc,1GB,1073741824,4,20,4294967296,3.778,1.059,3980.553,3862.133,5261.083,7691.516,1
tcp,put_zc,1GB,1073741824,8,20,8589934592,9.7038,0.824,9747.463,9791.47,11694.599,14900.413,1
